grade	nation
1	71	England
2	58	England
3	45	England
4	59	England
5	64	England
6	57	England
7	61	England
8	60	England
9	59	England
10	58	England
11	62	England
12	50	England
13	61	England
14	52	England
15	62	England
16	63	England
17	43	England
18	49	England
19	59	England
20	55	England
21	50	England
22	71	England
23	60	England
24	63	England
25	60	England
26	56	England
27	48	England
28	48	England
29	46	England
30	58	England
31	31	Scotland
32	48	Scotland
33	49	Scotland
34	73	Scotland
35	75	Scotland
36	58	Scotland
37	65	Scotland
38	57	Scotland
39	60	Scotland
40	81	Scotland
41	37	Scotland
42	51	Scotland
43	36	Scotland
44	73	Scotland
45	77	Scotland
46	36	Scotland
47	52	Scotland
48	74	Scotland
49	69	Scotland
50	61	Scotland
51	52	Scotland
52	28	Scotland
53	77	Scotland
54	69	Scotland
55	77	Scotland
56	92	Scotland
57	61	Scotland
58	56	Scotland
59	54	Scotland
60	82	Scotland
